PatientsPerDay,ReferralRatePercent,AIServers,Doctors,ArrivalPeriodSec,AIServiceTimeSec,DoctorServiceTimeSec,AIUtilizationPercent,AIQueueWaitSec,AIQueueLength,DoctorUtilizationPercent,DoctorQueueWaitSec,DoctorQueueLength,DoctorProcessed,Feasible
5000,100,2,6,5.76,6.16,30,53.471527777782,0,0,86.7507251047461,0,0,4994,0
5000,100,2,7,5.76,6.16,30,53.471527777782,0,0,74.3577643754966,0,0,4994,1
5000,100,2,8,5.76,6.16,30,53.471527777782,0,0,65.0630438285596,0,0,4994,1
5000,100,3,1,5.76,6.16,30,99.5694584220642,711.764129554656,25,99.978593391196,737.5225,25,959,0
5000,100,3,2,5.76,6.16,30,99.4351083365298,362.27770020534,25,99.9685913934859,370.837375,25,1918,0
5000,100,3,3,5.76,6.16,30,99.1859480629677,241.782145804676,25,99.9585933982871,247.30775,25,2877,0
5000,100,3,4,5.76,6.16,30,98.5260531565593,179.11247156153,25,99.9485994031974,184.7700625,25,3836,0
5000,100,3,5,5.76,6.16,30,91.6047667990792,119.2626346313,25,99.9386094058138,140.156249999998,25,4795,0
5000,100,3,6,5.76,6.16,30,35.647685185188,0,0,86.7507251047461,0,0,4994,0
5000,100,3,7,5.76,6.16,30,35.647685185188,0,0,74.3577643754966,0,0,4994,1
5000,100,3,8,5.76,6.16,30,35.647685185188,0,0,65.0630438285596,0,0,4994,1
5000,100,4,1,5.76,6.16,30,99.5019488354249,710.863902932254,25,99.978593391196,737.5225,25,959,0
5000,100,4,2,5.76,6.16,30,99.3461867728074,361.970651616213,25,99.9685913934859,370.837375,25,1918,0
5000,100,4,3,5.76,6.16,30,99.054317680341,241.584187005844,25,99.9585933982871,247.30775,25,2877,0
5000,100,4,4,5.76,6.16,30,98.2916247589729,178.904895321788,25,99.9485994031974,184.7700625,25,3836,0
5000,100,4,5,5.76,6.16,30,90.2596599905506,118.492441499256,25,99.9386094058138,140.156249999998,25,4795,0
5000,100,4,6,5.76,6.16,30,26.735763888891,0,0,86.7507251047461,0,0,4994,0
5000,100,4,7,5.76,6.16,30,26.735763888891,0,0,74.3577643754966,0,0,4994,1
5000,100,4,8,5.76,6.16,30,26.735763888891,0,0,65.0630438285596,0,0,4994,1
